Company,Registration number,Phone,Mobile,Website,Email,Domestic Nondomestic,County
Duleek Energy Centre,50344,419814980,861724682,,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Dun-Tec Contracting Ltd T/A GO Electrical,50632,,872583321,,info@goelectrical.ie,Domestic,Dublin
East Clare Electrical Services Ltd,50435,,+353 87 901 6940,,eastclaresolar@gmail.com,Both,"Tipperary, Limerick, Laois, Kerry, Galway, Cork, Clare"
East Coast Energy,50241,,087 780 6969,,,Both,Meath
Eccles Electrical Ireland Limited,50665,,087 171 8517,,eccleselectricalservices@hotmail.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Eco Green Resources LTD,50069,,086 606 1227,,,Both,Tipperary
Eco Home Improvements,50205,,087 755 5588,,info@ecoenergyimprovements.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Eco Horizon Ltd,50035,01 699 1155,087 288 8155,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Meath, Offaly, Tipperary, Limerick, Laois, Kilkenny, Kildare, Dublin, Cork, Carlow"
Eco Revival Renewables,50460,14851944,+353 85 800 5437,,michelle@ecorenew.ie,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
Eco Solar Energy,50064,,087 749 6933,https://www.ecosolarenergy.ie,,Both,"Cork, Kildare, Kilkenny, Laois, Limerick, Waterford, Tipperary, Wexford"
Ecoplex Energy Solution LTD,50144,01 224 8365,086 735 3444,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Ecosol,50662,,857116579,,owen@ecosolsolar.com,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Eddie Byrne Electrical Ltd,50562,,+353 87 207 5285,,nedburn67@gmail.com,Both,"Westmeath, Roscommon, Offaly, Longford"
EF Electrical,50339,,873122231,,,Both,"Kilkenny, Tipperary, Waterford"
Efficient Renewables LTD,50070,,086 890 1993,,,Both,"Wicklow, Westmeath, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Kildare, Leitrim, Galway, Dublin, Donegal, Cavan"
EGLX Ltd T/A EG Electrical,50374,01 8257722,086 2658850,,,Both,"Wicklow, Wexford, Westmeath, Monaghan, Meath, Louth, Kildare, Dublin, Donegal, Cavan"
Eire Electric,50411,,+353 86 061 7953,,eireelectric@yahoo.com,Domestic,"Wicklow, Meath, Louth, Dublin"
Eire renewables,50613,,+353 85 198 1326,,solar@eirerenewables.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Eirevolt Energy Limited,50451,877144435,851204435,,Lee@eirevoltenergy.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Eirsolar,50564,,+353 87 494 3400,,ianjordan@eirsolar.ie,Both,"Wicklow, Wexford, Meath, Louth, Kildare, Dublin, Carlow"
EKR Solar Ltd,50572,,+353 87 494 5888,,tina@ekrsolar.ie,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Elecko Ltd,50420,,+353 87 676 2251,,info@elecko.ie,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Wexford, Clare, Cavan, Carlow, Wicklow"
Electric Skyline Ltd,50315,094 9360954,087 4476274,,,Both,"Westmeath, Sligo, Roscommon, Mayo, Longford, Limerick, Leitrim, Galway, Cork, Clare"
Electronic & Mechanical Suppression Engineering Limited T/A EMSE Ltd,50539,0404 41893,087 933 5168,,info@emse.ie,Both,"Wicklow, Wexford, Kildare, Dublin, Carlow"
Element Electrical,50701,,089 4987724,,info@elementelectrical.ie,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Emmet Keeshan Electrical,50458,,+353 83 446 4699,,emmetkeeshanelectrical@gmail.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Sligo, Tipperary, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Encom Energy Ireland Limited,50573,01 5759805,,,info@encomenergy.ie,Both,"Dublin, Donegal, Cork, Clare, Cavan, Carlow, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Encon,50436,+353 51 850 722,+353 85 101 1422,,conor@encon.ie,Both,"Tipperary, Waterford, Kilkenny, Cork, Carlow, Wexford"
EnergieXPro,50135,01 5292 788,,,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
Energlaze,50014,01 901 1635,086 239 0559,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Energy Freedom Systems,50003,,087 230 5071,,marek@energyfreedom.ie,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Wexford, Carlow, Wicklow"
EnergyServ Ltd,50048,,087 135 6363,,,Both,Wexford
Energysmart Renewables Limited,50055,012 542 214,083 358 8767,,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Energywise Savings Ireland LTD,50056,021 430 8185,087 884 0502,,,Both,"Wexford, Waterford, Tipperary, Offaly, Limerick, Laois, Kilkenny, Kerry, Galway, Cork, Clare, Carlow"
Engineering and Maintenance Support Services Ltd,50559,,+353 87 837 8468,,tomas.donoghue@emss2000.com,Both,"Offaly, Westmeath, Laois"
Eoin Browne Electrical Limited,50294,,087 923 5283,,,Domestic,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
ePower,50519,+353 21 243 0300,+353 86 034 8035,,Solar@ePower.ie,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Wicklow, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
eSolar Ltd,50367,,086 3433239,,,Both,"Wicklow, Meath, Kildare, Dublin"
ETI Security Systems Ltd,50345,949544224,872754972,,,Both,"Galway, Mayo, Roscommon"
EV Charging Ireland,50295,,087 954 9388,,,Both,Galway
Everpower LTD,50514,+353 1 625 1000,,,Info@everpower.ie,Both,Dublin
Evolve Eco Solutions Ltd,50292,01 564 5177,087 706 7350,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Fanning Electrical and Solar Ltd,50332,,863715948,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Fennor Developments,50309,,086 1921591,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Ferm ENG LTD,50195,074 974 0768,087 934 7996,,Info@fermeng.ie,Both,"Sligo, Roscommon, Monaghan, Longford, Mayo, Galway, Leitrim, Donegal, Cavan"
Flood Electrical Contractors Ltd,50683,,851175033,,floodelec@gmail.com,Both,"Westmeath, Meath, Laois, Kildare, Dublin"
Fokearn Energy Solutions LTD,50571,,+353 85 722 5804,,Andrew@fokearn.com,Domestic,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
FT Energy Ltd,50490,,087 249 3687,,info@ftenergy.ie,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
Fusion Electrical,50049,062 854 34,087 961 6942,,,Both,"Westmeath, Waterford, Tipperary, Offaly, Meath, Longford, Cork, Dublin, Galway, Laois, Limerick, Kilkenny, Kildare, Kerry, Clare, Carlow, Wexford, Wicklow"
Future Generation Energy,50050,023 885 8496,086 226 5000,,,Domestic,Cork
Future Renewables Energy Systems Limited,50619,4866389657,,https://futurerenewables.net/,seai@fresl.net,Both,"Wexford, Westmeath, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Leitrim, Laois, Kilkenny, Kildare, Galway, Dublin, Donegal, Cavan, Carlow, Wicklow"
Futureproof Energy Ltd,50377,,086 083 6073,,,Both,"Tipperary, Sligo, Roscommon, Mayo, Limerick, Leitrim, Kerry, Galway, Cork, Clare"
G and L Electrical,50203,051 875 443,,,,Both,Waterford
G.C. Electrical LTD,50182,091 593 333,087 259 8999,,,Both,"Roscommon, Mayo, Galway, Limerick, Clare"
Gaffney Electrical Fire and Security Ltd,50328,876787277,830181686,,,Both,"Wicklow, Wexford, Waterford, Westmeath, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kerry, Kildare, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Gary Warde Electrical LTD,50089,,086 108 9230,,,Domestic,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Gas Electrical Services,50329,,871345062,,,Both,"Waterford, Tipperary, Limerick, Kerry, Cork"
Gavin Walker Electrical Contractors LTD,50649,,+353 85 168 6676,,admin@gwec.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
GCSS Limited,50550,40429184,863874301,,accounts@gcss.ie,Both,"Wicklow, Wexford, Dublin"
GENR8 Electric LTD,50541,,868529168,,michael@genr8.ie,Both,"Monaghan, Meath, Louth, Cavan"
Gerard Reynolds electrical,50478,,864188694,,gerreynoldspvsolar@gmail.com,Domestic,"Roscommon, Offaly, Galway, Westmeath"
Gibney Electrical Ltd,50414,,+353 86 772 2523,,alan@gibneyelectrical.ie,Both,"Wicklow, Wexford, Westmeath, Roscommon, Monaghan, Meath, Louth, Longford, Leitrim, Kilkenny, Kildare, Galway, Dublin, Cavan"
Gilroys Green Energy LTD,50052,+353 66 711 5920,+353 83 122 0989,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Gladstone Engineering Limited,50604,+353 51 364 381,+353 87 239 1627,https://www.gladstone.ie,accounts@gladstone.ie,Both,"Waterford, Kilkenny"
Glas Energy,50067,,087 603 3052,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Glenfield Renewables Ireland LTD,50102,0282 884 1828,0773 006 4846,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
GM Solar LTD,50334,,083 062 9121,,,Both,Galway
Gmac Electrical Ltd,50612,,+353 87 220 7064,,gmac.electrical@gmail.com,Domestic,"Laois, Kildare, Dublin, Carlow"
GMC Electrical,50463,,879517640,,gmcsolarpv65@yahoo.com,Both,"Sligo, Monaghan, Leitrim, Donegal, Cavan"
Go Solar,50001,047 77766,087 279 7766,,,Both,"Sligo, Roscommon, Offaly, Monaghan, Meath, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Galway, Dublin, Donegal, Cavan, Carlow"
Goodship Electrical Contractors,50706,,830537472,,info@goodshipelectrical.ie,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Gosecure Limited T/A GoKonnect Solar,50663,429333365,,,gosecuresolar@gmail.com,Domestic,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Grants Electrical Services LTD,50128,074 936 0014,087 418 8749,,,Both,Donegal
Green Air Technologies Ltd,50703,043 332 9488,,https://greenairtechnologies.ie/,fintan@greenairtechnologies.ie,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
Green Electric,50130,01 223 4677,086 854 1514,,,Both,Meath
Green Energy Ireland,50574,+353 66 718 9004,+353 85 179 3179,,info@greenenergyireland.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Green Energy Networks,50603,,+353 86 156 9243,,info@greenenergynetworks.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Roscommon, Cork, Clare, Cavan, Carlow"
Green Powered Systems Limited,50522,,+353 87 980 6463,,info@greenpoweredsystems.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Greenhouse,50105,01 207 0006,,,,Both,Dublin
Greenside,50516,+353 86 827 5792,+353 44 966 2600,,Oasisparqueoasis@gmail.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Greentricity Ltd,50347,,878184597,,,Both,"Wexford, Westmeath, Waterford, Sligo, Tipperary, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Greenway Solar and Robotics Ltd,50298,,086 8678877,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Grian52 Ltd,50327,2827007,899850690,https://www.grian52.ie,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Grid Solar Limited,50297,,+353 85 140 0572,,info@gridsolar.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Hanna Solar ltd,50606,,+353 87 751 7433,,info@hannasolar.ie,Both,"Wicklow, Offaly, Meath, Laois, Kildare, Dublin, Carlow"
Hanrahan Renewable Energy,50217,,087 416 2799,,,Domestic,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Hardiman Electrical,50733,,857743683,,hardimandavid0@gmail.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Harvey Solar Services Ltd,50626,,838985100,,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
HD Renewable Energy,50707,,085 872 7012,,info@hdrenewableenergy.com,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
HDPV Ltd,50283,,086 166 3352,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Hetto Electrical Services,50570,,+353 86 401 0214,,hettosolar@gmail.com,Both,"Wicklow, Meath, Louth, Kildare, Dublin"
Hi-Line Energy Solutions LTD,50581,051 640909,086 3808066,,admin@hilineenergysolutions.ie,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
Home and Agri Energy LTD,50165,,083 352 9277,,grants@homeandagrienergy.ie,Both,"Waterford, Tipperary, Offaly, Limerick, Laois, Kilkenny, Kerry, Cork, Clare"
Home Building Solutions,50390,,085 125 1612,https://www.homebuildingsolutions.ie,wesley@homebuildingsolutions.ie,Domestic,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Home Comfort Retrofits,50617,01 9125236,,,info@homecomfortretrofits.ie,Both,"Wicklow, Meath, Louth, Laois, Kildare, Dublin, Cavan, Carlow"
Homeology Solar,50423,0818 245 255,,,solar@homeology.ie,Domestic,"Westmeath, Meath, Louth, Kildare, Dublin"
House2home Retrofit LTD,50066,01 526 7777,087 740 0198,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
IDEAL Solar and Electrical Ltd,50647,,871704315,,info@idealsolarandelectrical.ie,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
IKB Energy Ltd,50419,,+353 87 415 8935,,andrew.oconnell@f4energy.com,Both,Limerick
Infinite Energy,50243,059 916 8075,085 801 9680,,,Both,"Wexford, Westmeath, Waterford, Tipperary, Offaly, Meath, Limerick, Laois, Kilkenny, Kildare, Dublin, Carlow, Wicklow"
Integrate Home Energy Upgrades,50625,,858516589,,joe.donovanlowenergy.ie,Domestic,"Wicklow, Wexford, Offaly, Meath, Laois, Kildare, Dublin, Carlow"
Intelligent Energy Solutions Ltd. T/A Powerserve,50699,,086 8179109,,conorhayden@powerserveltd.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Ire Power Ltd,50481,,857542247,,prendergastcolm@gmail.com,Both,"Wicklow, Laois, Kilkenny, Kildare, Carlow"
Irish Energies,50471,086 071 6968,087 388 5209,,joseph@irishenergies.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
IVR Electrical Ltd,50739,,089 228 3094,https://www.ivrelectrical.ie,ivrelectrical.ie@gmail.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
James Kane Energy Solutions Ltd,50623,,872767518,,dawros@gmail.com,Domestic,Galway
Jamie Harley Electrical Ltd,50650,,086 391 5349,,jharleysolarpv@gmail.com,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Jason Fahy Heating LTD,50254,,087 220 8330,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
JC Electrical and Security Ltd,50269,087 742 9205,087 742 9205,,info@jcgroup.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
JE Solar Ltd,50407,,+353 87 666 0115,https://www.jesolar.ie,John@jesolar.ie,Both,"Sligo, Mayo, Leitrim, Galway, Donegal"
JM Energy Saving LTD,50227,026 68004,,,grants@jmenergy.ie,Both,"Cork, Kerry, Limerick"
JMG Solar Solutions Ltd,50468,,872387119,,info@jmgsolarsolutions.ie,Both,"Waterford, Kilkenny, Tipperary, Cork, Carlow, Wexford"
Joe Connolly Electrical Ltd,50491,,878525458,,Joeconnollysolar@gmail.com,Domestic,"Roscommon, Mayo, Galway"
Joe Sav electrical systems LTD,50456,,+353 87 740 1295,https://www.savelectrical.com/,Solar@savelectrical.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Joe Thompson Electrical Ltd,50426,,+353 87 202 0048,,pkav1980@hotmail.com,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
