Company,Email,Primary Phone,Phone,Mobile,Website,Domestic Nondomestic,Counties Covered,County Count,Priority Score,Outreach Status,First Email Sent,Follow-up Date,Reply Status,Notes
Derry Brosnan Electrical and Construction Services Ltd,derrybrosecsltd@gmail.com,872234752,,872234752,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow",26,85,Not contacted,,,,
Divers Educational Supplies T/A Celtic Renewables,divers.edu.supplies@gmail.com,087 6922801,,087 6922801,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
EKR Solar Ltd,tina@ekrsolar.ie,+353 87 494 5888,,+353 87 494 5888,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
East Clare Electrical Services Ltd,eastclaresolar@gmail.com,+353 87 901 6940,,+353 87 901 6940,,Both,"Tipperary, Limerick, Laois, Kerry, Galway, Cork, Clare",7,85,Not contacted,,,,
Eccles Electrical Ireland Limited,eccleselectricalservices@hotmail.com,087 171 8517,,087 171 8517,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Eco Home Improvements,info@ecoenergyimprovements.ie,087 755 5588,,087 755 5588,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Eco Revival Renewables,michelle@ecorenew.ie,+353 85 800 5437,14851944,+353 85 800 5437,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow",26,85,Not contacted,,,,
Ecosol,owen@ecosolsolar.com,857116579,,857116579,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Eire renewables,solar@eirerenewables.ie,+353 85 198 1326,,+353 85 198 1326,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Eirevolt Energy Limited,Lee@eirevoltenergy.ie,851204435,877144435,851204435,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Eirsolar,ianjordan@eirsolar.ie,+353 87 494 3400,,+353 87 494 3400,,Both,"Wicklow, Wexford, Meath, Louth, Kildare, Dublin, Carlow",7,85,Not contacted,,,,
Elecko Ltd,info@elecko.ie,+353 87 676 2251,,+353 87 676 2251,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Wexford, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Electronic & Mechanical Suppression Engineering Limited T/A EMSE Ltd,info@emse.ie,087 933 5168,0404 41893,087 933 5168,,Both,"Wicklow, Wexford, Kildare, Dublin, Carlow",5,85,Not contacted,,,,
Element Electrical,info@elementelectrical.ie,089 4987724,,089 4987724,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Emmet Keeshan Electrical,emmetkeeshanelectrical@gmail.com,+353 83 446 4699,,+353 83 446 4699,,Both,"Wicklow, Wexford, Westmeath, Waterford, Sligo, Tipperary, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",25,85,Not contacted,,,,
Encom Energy Ireland Limited,info@encomenergy.ie,01 5759805,01 5759805,,,Both,"Dublin, Donegal, Cork, Clare, Cavan, Carlow, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Encon,conor@encon.ie,+353 85 101 1422,+353 51 850 722,+353 85 101 1422,,Both,"Tipperary, Waterford, Kilkenny, Cork, Carlow, Wexford",6,85,Not contacted,,,,
Energy Freedom Systems,marek@energyfreedom.ie,087 230 5071,,087 230 5071,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Wexford, Carlow, Wicklow",26,85,Not contacted,,,,
FT Energy Ltd,info@ftenergy.ie,087 249 3687,,087 249 3687,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow",26,85,Not contacted,,,,
Ferm ENG LTD,Info@fermeng.ie,087 934 7996,074 974 0768,087 934 7996,,Both,"Sligo, Roscommon, Monaghan, Longford, Mayo, Galway, Leitrim, Donegal, Cavan",9,85,Not contacted,,,,
Flood Electrical Contractors Ltd,floodelec@gmail.com,851175033,,851175033,,Both,"Westmeath, Meath, Laois, Kildare, Dublin",5,85,Not contacted,,,,
Fokearn Energy Solutions LTD,Andrew@fokearn.com,+353 85 722 5804,,+353 85 722 5804,,Domestic,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
GMC Electrical,gmcsolarpv65@yahoo.com,879517640,,879517640,,Both,"Sligo, Monaghan, Leitrim, Donegal, Cavan",5,85,Not contacted,,,,
Gavin Walker Electrical Contractors LTD,admin@gwec.ie,+353 85 168 6676,,+353 85 168 6676,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Gibney Electrical Ltd,alan@gibneyelectrical.ie,+353 86 772 2523,,+353 86 772 2523,,Both,"Wicklow, Wexford, Westmeath, Roscommon, Monaghan, Meath, Louth, Longford, Leitrim, Kilkenny, Kildare, Galway, Dublin, Cavan",14,85,Not contacted,,,,
Goodship Electrical Contractors,info@goodshipelectrical.ie,830537472,,830537472,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Gosecure Limited T/A GoKonnect Solar,gosecuresolar@gmail.com,429333365,429333365,,,Domestic,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Green Energy Ireland,info@greenenergyireland.ie,+353 85 179 3179,+353 66 718 9004,+353 85 179 3179,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Green Energy Networks,info@greenenergynetworks.ie,+353 86 156 9243,,+353 86 156 9243,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Roscommon, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Green Powered Systems Limited,info@greenpoweredsystems.ie,+353 87 980 6463,,+353 87 980 6463,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Greenside,Oasisparqueoasis@gmail.com,+353 44 966 2600,+353 86 827 5792,+353 44 966 2600,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Grid Solar Limited,info@gridsolar.ie,+353 85 140 0572,,+353 85 140 0572,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
HD Renewable Energy,info@hdrenewableenergy.com,085 872 7012,,085 872 7012,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow",26,85,Not contacted,,,,
Hanna Solar ltd,info@hannasolar.ie,+353 87 751 7433,,+353 87 751 7433,,Both,"Wicklow, Offaly, Meath, Laois, Kildare, Dublin, Carlow",7,85,Not contacted,,,,
Hardiman Electrical,hardimandavid0@gmail.com,857743683,,857743683,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Hetto Electrical Services,hettosolar@gmail.com,+353 86 401 0214,,+353 86 401 0214,,Both,"Wicklow, Meath, Louth, Kildare, Dublin",5,85,Not contacted,,,,
Hi-Line Energy Solutions LTD,admin@hilineenergysolutions.ie,086 3808066,051 640909,086 3808066,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow",26,85,Not contacted,,,,
Home Comfort Retrofits,info@homecomfortretrofits.ie,01 9125236,01 9125236,,,Both,"Wicklow, Meath, Louth, Laois, Kildare, Dublin, Cavan, Carlow",8,85,Not contacted,,,,
Home and Agri Energy LTD,grants@homeandagrienergy.ie,083 352 9277,,083 352 9277,,Both,"Waterford, Tipperary, Offaly, Limerick, Laois, Kilkenny, Kerry, Cork, Clare",9,85,Not contacted,,,,
Homeology Solar,solar@homeology.ie,0818 245 255,0818 245 255,,,Domestic,"Westmeath, Meath, Louth, Kildare, Dublin",5,85,Not contacted,,,,
IDEAL Solar and Electrical Ltd,info@idealsolarandelectrical.ie,871704315,,871704315,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Intelligent Energy Solutions Ltd. T/A Powerserve,conorhayden@powerserveltd.com,086 8179109,,086 8179109,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Ire Power Ltd,prendergastcolm@gmail.com,857542247,,857542247,,Both,"Wicklow, Laois, Kilkenny, Kildare, Carlow",5,85,Not contacted,,,,
Irish Energies,joseph@irishenergies.com,087 388 5209,086 071 6968,087 388 5209,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
JC Electrical and Security Ltd,info@jcgroup.ie,087 742 9205,087 742 9205,087 742 9205,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
JMG Solar Solutions Ltd,info@jmgsolarsolutions.ie,872387119,,872387119,,Both,"Waterford, Kilkenny, Tipperary, Cork, Carlow, Wexford",6,85,Not contacted,,,,
JW Solar Ltd,info@jwe.ie,+353 86 305 9926,,+353 86 305 9926,,Both,"Wicklow, Waterford, Wexford, Laois, Kilkenny, Kildare, Dublin, Carlow",8,85,Not contacted,,,,
Jamie Harley Electrical Ltd,jharleysolarpv@gmail.com,086 391 5349,,086 391 5349,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Joe Thompson Electrical Ltd,pkav1980@hotmail.com,+353 87 202 0048,,+353 87 202 0048,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow",26,85,Not contacted,,,,
Jordan Mc Ivor Electrical and Solar PV LTD,mcivorjordan21@gmail.com,083 154 3157,,083 154 3157,,Both,"Westmeath, Roscommon, Offaly, Mayo, Longford, Galway, Clare",7,85,Not contacted,,,,
K&T Solar PV Solutions Ltd,KARLTON@KTSOLARPVSOLUTIONS.COM,087 465 2953,,087 465 2953,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Kaelen Higgins Electrical,khigginselectrical@outlook.com,083 4499499,,083 4499499,,Both,"Roscommon, Tipperary, Limerick, Clare, Galway, Westmeath",6,85,Not contacted,,,,
Keogh Electrical and Building,johnrkeoghelectrical@gmail.com,860331375,,860331375,,Both,"Offaly, Laois, Kilkenny, Kildare, Dublin, Carlow",6,85,Not contacted,,,,
Kevin Murphy Electrical Services,info@kmes.ie,838693134,,838693134,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Kieran Doherty Electrical,kierandohertyelectrical@gmail.com,086 1984838,,086 1984838,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Kinnelite Ltd,kinnelite@hotmail.com,874086026,,874086026,,Both,"Wexford, Westmeath, Sligo, Roscommon, Monaghan, Meath, Louth, Longford, Limerick, Leitrim, Laois, Kildare, Galway, Dublin, Donegal, Clare, Cavan, Wicklow",18,85,Not contacted,,,,
Klass Home Energy Ltd. TA Klass Solar,avril.oreilly@klasshomes.ie,087 470 6482,01 539 2861,087 470 6482,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
LS ELECTRONICS LTD,cianhunterpv@gmail.com,+353 87 752 7554,,+353 87 752 7554,,Domestic,"Wicklow, Meath, Kildare, Dublin, Donegal",5,85,Not contacted,,,,
Leinster Electrical Contracts Limited,info@leinsterelectrical.ie,872774977,469072122,872774977,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Light Energy Ireland Ltd,marta@lightenergy.ie,086 7927815,,086 7927815,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Lux Electrical Contractors Limited,info@luxelectricalcontractors.ie,834866435,,834866435,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow",26,85,Not contacted,,,,
Lynch Electrical & Renewables Ltd,lynchsolarpv@outlook.com,085 822 1861,,085 822 1861,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
M+C Hybrid Energy LTD,carmel@hybridenergygroup.ie,049 4355054,049 4355054,,,Both,"Westmeath, Meath, Cavan, Longford, Monaghan",5,85,Not contacted,,,,
MMK Facilities Management LTD,enquiries@mmk.ie,872128343,15159265,872128343,,Domestic,"Wicklow, Meath, Louth, Kildare, Dublin",5,85,Not contacted,,,,
McLaughlin Electrical Ltd,desmcl@gmail.com,087 7189225,,087 7189225,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Meade & Madden T/A Glentech Electrical,dmeade@glentech.ie,087 905 4488,01 401 9768,087 905 4488,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Mid West Renewable Energy Ltd,germacnamara@yahoo.ie,+353 87 616 6234,,+353 87 616 6234,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Midwest Fire & Security Ltd,admin@midwestfireandsecurity.ie,876565646,,876565646,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Mitros Solar Ltd,alex@mitros.ie,872377813,,872377813,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow",26,85,Not contacted,,,,
Moontree Solar,conor@moontree.ie,868112233,,868112233,,Both,"Tipperary, Offaly, Limerick, Laois, Clare",5,85,Not contacted,,,,
Moy Solar,info@moysolar.ie,9692012,9692012,,,Both,"Wicklow, Westmeath, Wexford, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Mr Sparkx Electrical Services Ltd,phelimnfofarrellyelectric@outlook.com,852685738,,852685738,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow",26,85,Not contacted,,,,
Murray and McEvoy Ltd,ciara@murraymcevoy.co.uk,0044 783 521 9312,0044 284 040 0320,0044 783 521 9312,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
My Power Ltd,graham@my-power.ie,+353 87 867 4007,+353 1 627 4701,+353 87 867 4007,,Both,"Wicklow, Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
MySolar,grants@mysolar.ie,+353 1 912 5265,+353 1 912 5265,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Myles Donohoe Electrical,mylesdelectrical@gmail.com,+353 87 765 0741,+353 87 765 0741,,,Domestic,"Wicklow, Wexford, Waterford, Tipperary, Kilkenny, Carlow",6,85,Not contacted,,,,
NMK Electrical Ltd,nmkelectricalsolar@gmail.com,879904697,,879904697,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
NRE Renewables Ltd,nrerenewables@gmail.com,877750508,,877750508,,Both,"Wexford, Westmeath, Offaly, Monaghan, Meath, Louth, Longford, Laois, Kilkenny, Kildare, Dublin, Cavan, Carlow, Wicklow",14,85,Not contacted,,,,
Netherbrook Ltd,ger@netherbrook.com,872570267,,872570267,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
Nigel M Daly Electrical,office@evchargingstations.ie,+353 86 260 6673,+353 51 390 606,+353 86 260 6673,,Both,"Carlow, Wexford, Waterford, Laois, Kilkenny, Kildare, Dublin, Wicklow",8,85,Not contacted,,,,
Nualaiochtai Miotal Teoranta TA Solar Structures,hi@solarstructures.ie,089 2295091,,089 2295091,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
Nuarc Energy Ltd,john.brennan@nuarcenergy.ie,+353 86 857 1191,,+353 86 857 1191,,Both,"Westmeath, Sligo, Roscommon, Meath, Mayo, Longford, Leitrim, Galway, Donegal, Cavan",10,85,Not contacted,,,,
O Kelly Electrical,okeandsolar@gmail.com,087 317 5268,,087 317 5268,,Domestic,"Limerick, Kerry, Cork, Clare, Tipperary",5,85,Not contacted,,,,
O'Neill & Sons Electrical Services,oneill_electrical@outlook.ie,+353 87 742 7314,+353 59 915 1486,+353 87 742 7314,,Both,"Waterford, Westmeath, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow",26,85,Not contacted,,,,
O'Neill Energy LTD,coneill@oneillenergy.com,+353 86 403 0503,,+353 86 403 0503,,Domestic,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow",26,85,Not contacted,,,,
OCM Energy,solar@ocm.ie,087 6320772,,087 6320772,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow",26,85,Not contacted,,,,
